"Split","Time","Moving Time","GetDistance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:00:30    ","00:00:30    ","0.05","0","1","00:10:07    ","00:10:35    ","00:07:42    ","73","83","68","115","135","31","3"
"2","00:00:10    ","00:00:10    ","0.01","0","0","00:11:52    ","00:08:45    ","00:08:26    ","78","79","54","139","141","31","2"
"3","00:00:30    ","00:00:30    ","0.03","0","0","00:15:14    ","00:12:49    ","00:09:40    ","76","78","51","140","145","32","5"
"4","00:00:10    ","00:00:10    ","0","0","0","00:19:42    ","00:15:13    ","00:14:51    ","74","74","45","147","148","32","2"
"5","00:00:30    ","00:00:30    ","0.04","0","0","00:13:04    ","00:13:49    ","00:12:11    ","78","83","47","140","143","32","5"
"6","00:00:10    ","00:00:10    ","0.01","0","0","00:14:27    ","00:12:22    ","00:12:20    ","80","80","50","139","140","32","2"
"7","00:00:30    ","00:00:30    ","0.03","0","0","00:15:14    ","00:15:26    ","00:12:40    ","79","82","41","138","149","33","5"
"8","00:00:10    ","00:00:10    ","0","0","0","00:24:18    ","00:14:32    ","00:14:26    ","76","77","45","150","152","33","2"
"9","00:00:30    ","00:00:30    ","0.03","0","0","00:18:55    ","00:15:19    ","00:07:28    ","75","77","44","144","148","33","5"
"10","00:00:10    ","00:00:10    ","0.01","0","0","00:14:34    ","00:16:34    ","00:16:03    ","75","75","41","147","148","33","2"
"11","00:00:30    ","00:00:30    ","0.03","0","0","00:16:00    ","00:16:34    ","00:15:28    ","80","83","38","142","144","33","5"
"12","00:00:10    ","00:00:10    ","0.01","0","0","00:15:23    ","00:15:09    ","00:14:48    ","72","82","47","144","145","33","2"
"13","00:00:30    ","00:00:30    ","0.03","0","0","00:15:14    ","00:14:48    ","00:12:08    ","77","97","45","146","157","33","5"
"14","00:00:10    ","00:00:10    ","0.01","0","0","00:15:32    ","00:12:45    ","00:12:36    ","78","78","50","157","157","33","2"
"15","00:00:30    ","00:00:30    ","0.02","0","0","00:22:06    ","00:17:59    ","00:13:02    ","76","78","37","153","156","32","5"
"16","00:00:10    ","00:00:10    ","0","0","0","00:23:53    ","00:21:21    ","00:21:07    ","75","75","32","154","154","32","2"
"17","00:00:30    ","00:00:30    ","0.03","0","0","00:14:53    ","00:17:38    ","00:13:46    ","81","86","35","153","154","32","5"
"18","00:00:10    ","00:00:10    ","0.02","0","0","00:10:58    ","00:13:05    ","00:12:43    ","82","82","55","148","149","32","2"
"19","00:52:21    ","00:52:21    ","7","266","273","00:07:29    ","00:07:06    ","00:04:14    ","82","122","82","157","176","33","591"
"20","00:01:00    ","00:01:00    ","0.16","0","10","00:06:06    ","00:05:43    ","00:04:50    ","96","1","85","155","161","34","11"
"21","00:01:00    ","00:01:00    ","0.10","5","0","00:10:23    ","00:08:53    ","00:06:38    ","67","99","71","148","161","34","10"
"22","00:01:00    ","00:01:00    ","0.09","17","0","00:10:56    ","00:11:02    ","00:10:25    ","88","99","52","157","169","35","11"
"23","00:01:00    ","00:01:00    ","0.08","4","2","00:11:57    ","00:10:44    ","00:09:59    ","62","87","68","162","174","34","12"
"24","00:01:15    ","00:01:15    ","0.11","0","3","00:11:50    ","00:11:50    ","00:10:23    ","62","101","68","124","137","35","10"
"Summary","01:03:36    ","01:03:36    ","7.94","292","289","00:08:01    ","00:07:37    ","00:04:14    ","81","129","77","155","176","33","704"
