"Split","Time","Moving Time","GetDistance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:15:00    ","00:15:00    ","1.70","78","26","00:08:49    ","00:08:36    ","00:06:00    ","80","91","70","132","149","31","130"
"2","00:00:20    ","00:00:20    ","0.08","3","1","00:04:21    ","00:06:25    ","00:04:11    ","90","100","127","136","148","31","3"
"3","00:01:00    ","00:01:00    ","0.05","0","1","00:18:30    ","00:09:53    ","00:03:40    ","56","101","69","138","157","31","9"
"4","00:00:20    ","00:00:20    ","0.08","0","0","00:04:26    ","00:05:24    ","00:03:46    ","76","99","148","118","125","31","2"
"5","00:01:00    ","00:01:00    ","0.02","0","0","00:40:37    ","00:05:40    ","00:03:36    ","43","97","91","129","147","31","8"
"6","00:00:20    ","00:00:20    ","0.08","0","0","00:04:05    ","00:04:45    ","00:03:22    ","72","97","170","120","133","31","2"
"7","00:01:00    ","00:01:00    ","0.03","0","1","00:36:30    ","00:09:14    ","00:03:20    ","43","97","80","132","147","31","9"
"8","00:00:20    ","00:00:20    ","0.08","0","0","00:04:15    ","00:05:21    ","00:03:32    ","82","97","143","115","132","31","2"
"9","00:01:00    ","00:01:00    ","0.04","0","0","00:27:03    ","00:12:34    ","00:03:29    ","52","98","59","139","155","30","9"
"10","00:12:28    ","00:08:00    ","0.19","2","5","00:41:52    ","00:09:15    ","00:03:04    ","12","100","96","109","147","31","50"
"11","00:03:01    ","00:03:01    ","0.30","0","24","00:10:02    ","00:06:44    ","00:05:36    ","57","115","87","110","130","31","19"
"Summary","00:35:49    ","00:31:21    ","2.65","83","58","00:11:51    ","00:08:17    ","00:03:04    ","57","115","74","124","157","31","245"
